group,workload,order,launch,mode,version,started,budgetMs,case,parameter
paired-final,worker-lifecycle--1,17,5,compiled,baseline,2026-09-04T22:44:27.3821450-07:00,300,,1
paired-final,worker-lifecycle--1,18,5,compiled,candidate,2026-09-04T22:44:35.4309010-07:00,300,,1
paired-final,worker-lifecycle--1,19,5,interpreter,baseline,2026-09-04T22:44:43.4184669-07:00,300,,1
paired-final,worker-lifecycle--1,20,5,interpreter,candidate,2026-09-04T22:44:45.6916269-07:00,300,,1
paired-final,worker-message-throughput-worker-message-burst-100,1,1,compiled,baseline,2026-09-04T22:41:24.1952904-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,2,1,compiled,candidate,2026-09-04T22:41:31.8487672-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,3,1,interpreter,baseline,2026-09-04T22:41:39.7550760-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,4,1,interpreter,candidate,2026-09-04T22:41:42.1890248-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,5,2,interpreter,candidate,2026-09-04T22:41:44.4592818-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,6,2,interpreter,baseline,2026-09-04T22:41:46.7499974-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,7,2,compiled,candidate,2026-09-04T22:41:49.1856549-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,8,2,compiled,baseline,2026-09-04T22:41:57.0869016-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,9,3,compiled,baseline,2026-09-04T22:42:05.0519476-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,10,3,compiled,candidate,2026-09-04T22:42:12.7118290-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,11,3,interpreter,baseline,2026-09-04T22:42:20.6800805-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,12,3,interpreter,candidate,2026-09-04T22:42:22.9632131-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,13,4,interpreter,candidate,2026-09-04T22:42:25.2185749-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,14,4,interpreter,baseline,2026-09-04T22:42:27.5421442-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,15,4,compiled,candidate,2026-09-04T22:42:29.8548334-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,16,4,compiled,baseline,2026-09-04T22:42:37.4806762-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,17,5,compiled,baseline,2026-09-04T22:42:45.1281818-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,18,5,compiled,candidate,2026-09-04T22:42:53.0573914-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,19,5,interpreter,baseline,2026-09-04T22:43:00.7015092-07:00,300,worker-message-burst,100
paired-final,worker-message-throughput-worker-message-burst-100,20,5,interpreter,candidate,2026-09-04T22:43:03.0938556-07:00,300,worker-message-burst,100
