platform,workload,mode,version,launch,name,param,meanMs,minMs,stdevMs,samples,inner,sampledMs
windows,worker-message-latency,interpreter,candidate,3,worker-message-roundtrip,4,18.9505887,0.2631,19.1396495,53,1,1004.3812
windows,worker-message-latency,interpreter,candidate,4,worker-message-roundtrip,1,21.8518565,0.4275,11.2827329,46,1,1005.1854
windows,worker-message-latency,interpreter,candidate,4,worker-message-roundtrip,2,25.9856564,0.4921,27.8450432,39,1,1013.4406
windows,worker-message-latency,interpreter,candidate,4,worker-message-roundtrip,4,21.494975,0.407,14.428539,48,1,1031.7588
windows,worker-message-latency,interpreter,candidate,5,worker-message-roundtrip,1,37.9072852,0.3652,21.1074605,27,1,1023.4967
windows,worker-message-latency,interpreter,candidate,5,worker-message-roundtrip,2,18.7479815,0.5068,9.7754417,54,1,1012.391
windows,worker-message-latency,interpreter,candidate,5,worker-message-roundtrip,4,17.851314,0.4878,12.7337974,57,1,1017.5249
windows,worker-message-latency,node,control,1,worker-message-roundtrip,1,13.9926361,0.3183,5.3443077,72,1,1007.4698
windows,worker-message-latency,node,control,1,worker-message-roundtrip,2,12.2890321,3.8824,5.3464466,84,1,1032.2787
windows,worker-message-latency,node,control,1,worker-message-roundtrip,4,17.5907368,9.3044,13.1550654,57,1,1002.672
windows,worker-message-latency,node,control,2,worker-message-roundtrip,1,31.1016545,18.7682,10.8710301,33,1,1026.3546
windows,worker-message-latency,node,control,2,worker-message-roundtrip,2,15.6734672,9.429,4.0897261,64,1,1003.1019
windows,worker-message-latency,node,control,2,worker-message-roundtrip,4,11.9270167,3.3529,3.4104462,84,1,1001.8694
windows,worker-message-latency,node,control,3,worker-message-roundtrip,1,15.9415524,0.1157,15.7324051,63,1,1004.3178
windows,worker-message-latency,node,control,3,worker-message-roundtrip,2,14.7205412,1.2469,6.0241334,68,1,1000.9968
windows,worker-message-latency,node,control,3,worker-message-roundtrip,4,34.6386933,5.344,38.1752277,30,1,1039.1608
windows,worker-message-latency,node,control,4,worker-message-roundtrip,1,48.0262238,24.6319,21.6088364,21,1,1008.5507
windows,worker-message-latency,node,control,4,worker-message-roundtrip,2,11.1295989,1.654,3.9499858,90,1,1001.6639
windows,worker-message-latency,node,control,4,worker-message-roundtrip,4,7.1964295,1.95,4.0461986,139,1,1000.3037
windows,worker-message-latency,node,control,5,worker-message-roundtrip,1,14.9818239,5.5679,6.9724578,67,1,1003.7822
windows,worker-message-latency,node,control,5,worker-message-roundtrip,2,20.078666,6.9279,9.8580035,50,1,1003.9333
windows,worker-message-latency,node,control,5,worker-message-roundtrip,4,19.7831294,8.6476,11.7843727,51,1,1008.9396
windows-final,array-methods--10000,compiled,baseline,1,array-methods,10000,0.072007,0.066025,0.017346,261,16,300.7013
windows-final,array-methods--10000,compiled,baseline,2,array-methods,10000,0.0675761,0.0396813,0.0077699,278,16,300.5786
windows-final,array-methods--10000,compiled,baseline,3,array-methods,10000,0.070062,0.062425,0.0099659,268,16,300.4258
windows-final,array-methods--10000,compiled,baseline,4,array-methods,10000,0.0692291,0.0624312,0.005216,271,16,300.1775
windows-final,array-methods--10000,compiled,baseline,5,array-methods,10000,0.07167,0.0629,0.0126819,262,16,300.4406
windows-final,array-methods--10000,compiled,candidate,1,array-methods,10000,0.0686898,0.062525,0.0065178,137,32,301.136
windows-final,array-methods--10000,compiled,candidate,2,array-methods,10000,0.0670179,0.062425,0.0046497,280,16,300.2404
windows-final,array-methods--10000,compiled,candidate,3,array-methods,10000,0.0717218,0.0624563,0.0442055,262,16,300.6577
windows-final,array-methods--10000,compiled,candidate,4,array-methods,10000,0.0697924,0.0624313,0.0091707,269,16,300.3866
windows-final,array-methods--10000,compiled,candidate,5,array-methods,10000,0.0663876,0.062525,0.0040009,142,32,301.6653
windows-final,language-hot-paths-stable-numeric-rest-10000,compiled,baseline,1,stable-numeric-rest,10000,0.0093576,0.0084875,0.0018744,251,128,300.6414
windows-final,language-hot-paths-stable-numeric-rest-10000,compiled,baseline,2,stable-numeric-rest,10000,0.0094002,0.0084977,0.0009672,250,128,300.8063
windows-final,language-hot-paths-stable-numeric-rest-10000,compiled,baseline,3,stable-numeric-rest,10000,0.0095791,0.0085164,0.0020065,245,128,300.4019
windows-final,language-hot-paths-stable-numeric-rest-10000,compiled,baseline,4,stable-numeric-rest,10000,0.0097694,0.0084844,0.0053792,240,128,300.1155
windows-final,language-hot-paths-stable-numeric-rest-10000,compiled,baseline,5,stable-numeric-rest,10000,0.0093583,0.0085164,0.0004822,251,128,300.6631
windows-final,language-hot-paths-stable-numeric-rest-10000,compiled,candidate,1,stable-numeric-rest,10000,0.009559,0.0085078,0.0015219,246,128,300.9923
windows-final,language-hot-paths-stable-numeric-rest-10000,compiled,candidate,2,stable-numeric-rest,10000,0.0094347,0.0085289,0.0014397,249,128,300.7021
windows-final,language-hot-paths-stable-numeric-rest-10000,compiled,candidate,3,stable-numeric-rest,10000,0.0092549,0.0085055,0.0011503,254,128,300.8956
windows-final,language-hot-paths-stable-numeric-rest-10000,compiled,candidate,4,stable-numeric-rest,10000,0.0093948,0.0084922,0.0015374,250,128,300.6342
windows-final,language-hot-paths-stable-numeric-rest-10000,compiled,candidate,5,stable-numeric-rest,10000,0.0094893,0.0084477,0.0011365,247,128,300.0129
windows-final,objects--10000,compiled,baseline,1,objects,10000,0.0168727,0.0163953,0.0016389,278,64,300.1991
windows-final,objects--10000,compiled,baseline,2,objects,10000,0.0172609,0.01635,0.0034135,544,32,300.4782
windows-final,objects--10000,compiled,baseline,3,objects,10000,0.0166219,0.0163891,0.0010484,283,64,301.0553
windows-final,objects--10000,compiled,baseline,4,objects,10000,0.0166158,0.0163875,0.0004209,283,64,300.9445
windows-final,objects--10000,compiled,baseline,5,objects,10000,0.0166115,0.0163813,0.0003722,283,64,300.868
windows-final,objects--10000,compiled,candidate,1,objects,10000,0.0167324,0.0163922,0.0010336,281,64,300.916
windows-final,objects--10000,compiled,candidate,2,objects,10000,0.0169226,0.0163797,0.0024928,277,64,300.0044
